Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
964621,"The Original Illustrated Sherlock Holmes (37 Short Stories and 1 Novel)","Arthur Conan Doyle","Doyle, Arthur Conan","",="0890090572",="9780890090572",0,"4.50","Castle Books","Hardcover","636",2009,1891,,2011/09/28,"","","read",,"",,,,,0,,,,,
305871,"The Da Vinci Code (Robert Langdon, #2)","Dan Brown","Brown, Dan","",="0593054253",="9780593054253",0,"3.73","Bantam Press","Hardcover","467",2004,2003,,2011/09/28,"","","read",,"",,,,,0,,,,,
4361864,"The Cube: The Ultimate Guide to the World's Best-Selling Puzzle: Secrets, Stories, Solutions","Jerry Slocum","Slocum, Jerry","David Singmaster, Dieter Gebhardt",="157912805X",="9781579128050",0,"3.50","Black Dog & Leventhal Publishers","Paperback","142",2009,2009,,2011/09/28,"","","read",,"",,,,,0,,,,,
2436574,"The Road To Mars","Eric Idle","Idle, Eric","",="0752224190",="9780752224190",0,"3.47",,,"",,1990,,2011/09/28,"","","read",,"",,,,,0,,,,,
149100,"Greetings, Carbon-Based Bipeds!","Arthur C. Clarke","Clarke, Arthur C.","",="000224697X",="9780002246972",0,"3.76","","Hardcover","576",1999,1999,,2011/09/28,"","","read",,"",,,,,0,,,,,
839259,"Sandworms Of Dune (Dune Chronicles, #8)","Brian Herbert","Herbert, Brian","Kevin J. Anderson",="0340837519",="9780340837511",0,"3.58","Hodder & Stoughton Ltd","Paperback","496",2007,2007,,2011/09/28,"","","read",,"",,,,,0,,,,,
1036777,"Mountain of Black Glass (Otherland, #3)","Tad Williams","Williams, Tad","",="1857237471",="9781857237474",0,"4.02","Orbit","Paperback","",1999,1999,,2011/09/28,"","","read",,"",,,,,0,,,,,
1040672,"Divergence (AI Trilogy #3)","Tony Ballantyne","Ballantyne, Tony","",="055358930X",="9780553589306",3,"3.32","Spectra","Paperback","400",2007,2007,,2011/09/21,"","","read",,"",,,,,0,,,,,
889111,"Capacity (AI Trilogy #2)","Tony Ballantyne","Ballantyne, Tony","",="0553589296",="9780553589290",3,"3.40","Spectra","Paperback","416",2006,2005,,2011/09/21,"","","read",,"",,,,,0,,,,,
5863582,"The Grand Conjunction (Astropolis, #3)","Sean Williams","Williams, Sean","",="0441017134",="9780441017133",4,"3.66","Ace","Paperback","336",2009,2009,,2011/09/19,"","","read",,"",,,,,0,,,,,
3246970,"Earth Ascendant (Astropolis, #2)","Sean Williams","Williams, Sean","",="0441015859",="9780441015856",4,"3.77","Ace","Paperback","304",2008,2008,,2011/09/19,"","","read",,"",,,,,0,,,,,
92882,"The Companions (Dragonlance: Meetings Sextet, #6)","Tina Daniell","Daniell, Tina","",="156076340X",="9781560763406",0,"3.85","Wizards of the Coast","Mass Market Paperback","312",1993,1993,,2011/09/18,"","","read",,"",,,,,0,,,,,
92905,"Steel and Stone (Dragonlance: Meetings Sextet, #5)","Ellen Porath","Porath, Ellen","",="1560763396",="9781560763390",0,"3.68","Wizards of the Coast","Paperback","311",1992,1992,,2011/09/18,"","","read",,"",,,,,0,,,,,
108889,"The Oath and the Measure (Dragonlance: Meetings Sextet, #4)","Michael   Williams","Williams, Michael","",="1560763361",="9781560763369",0,"3.67","Wizards of the Coast","Mass Market Paperback","311",1992,1993,,2011/09/18,"","","read",,"",,,,,0,,,,,
534499,"Wanderlust (Dragonlance: Meetings Sextet, #2)","Mary Kirchoff","Kirchoff, Mary","Steve Winter",="1560761156",="9781560761150",0,"3.77","TSR","Mass Market Paperback","312",1991,1991,,2011/09/18,"","","read",,"",,,,,0,,,,,
668830,"Kindred Spirits (Dragonlance: Meetings Sextet, #1)","Mark Anthony","Anthony, Mark","Ellen Porath",="1560760699",="9781560760696",0,"3.79","TSR","Mass Market Paperback","307",1991,1991,,2011/09/18,"","","read",,"",,,,,0,,,,,
92908,"Dark Heart (Dragonlance: Meetings Sextet, #3)","Tina Daniell","Daniell, Tina","",="1560761164",="9781560761167",0,"3.54","TSR","Paperback","310",2005,1992,,2011/09/18,"","","read",,"",,,,,0,,,,,
4984,"Bagombo Snuff Box","Kurt Vonnegut","Vonnegut, Kurt","",="0099282968",="9780099282969",0,"3.70","Vintage","Paperback","295",2000,1999,,2011/09/18,"","","read",,"",,,,,0,,,,,
455373,"Sphere","Michael Crichton","Crichton, Michael","",="0345418972",="9780345418975",3,"3.71","Ballantine Books","Paperback","371",1997,1987,,2011/09/18,"","","read",,"",,,,,0,,,,,
156775,"Quarantine (Subjective Cosmology Cycle, #1)","Greg Egan","Egan, Greg","",="0061054232",="9780061054235",0,"3.86","HarperPrism","Paperback","280",1995,1992,,2011/09/18,"","","read",,"",,,,,0,,,,,
